name,url,cr,type,size,ac,hp,speed,align,legendary,source,str,dex,con,int,wis,cha
dolphin,https://www.aidedd.org/dnd/monstres.php?vo=dolphin,1/8,beast,Medium,12,11,swim,unaligned,,Volo's Guide to Monsters,14.0,13.0,13.0,6.0,12.0,7.0
doppelganger,https://www.aidedd.org/dnd/monstres.php?vo=doppelganger,3,monstrosity (shapechanger),Medium,14,52,,neutral,,Monster Manual (SRD),11.0,18.0,14.0,11.0,12.0,14.0
draegloth,,7,fiend (demon),Large,15,123,,chaotic evil,,Volo's Guide to Monsters,,,,,,
draft-horse,https://www.aidedd.org/dnd/monstres.php?vo=draft-horse,1/4,beast,Large,10,19,,unaligned,,Monster Manual (SRD),18.0,10.0,12.0,2.0,11.0,7.0
dragon-turtle,https://www.aidedd.org/dnd/monstres.php?vo=dragon-turtle,17,dragon,Gargantuan,20,341,swim,neutral,,Monster Manual (SRD),25.0,10.0,20.0,10.0,12.0,12.0
dragonbait,,5,humanoid (saurial),Medium,17,120,,lawful good,,Adventures (Tomb of Annihilation),,,,,,
dretch,https://www.aidedd.org/dnd/monstres.php?vo=dretch,1/4,fiend (demon),Small,11,18,,chaotic evil,,Monster Manual (SRD),11.0,11.0,12.0,5.0,8.0,3.0
drider,https://www.aidedd.org/dnd/monstres.php?vo=drider,6,monstrosity,Large,19,123,,chaotic evil,,Monster Manual (SRD),16.0,16.0,18.0,13.0,14.0,12.0
drow,https://www.aidedd.org/dnd/monstres.php?vo=drow,1/4,humanoid (elf),Medium,15,13,,neutral evil,,Monster Manual (SRD),10.0,14.0,10.0,11.0,11.0,12.0
drow-arachnomancer,,13,humanoid (elf),Medium,15,162,,chaotic evil,,Mordenkainen's Tome of Foes,,,,,,
drow-elite-warrior,,5,humanoid (elf),Medium,18,71,,neutral evil,,Monster Manual,,,,,,
drow-favored-consort,,18,humanoid (elf),Medium,15,225,,neutral evil,,Mordenkainen's Tome of Foes,,,,,,
drow-house-captain,https://www.aidedd.org/dnd/monstres.php?vo=drow-house-captain,9,humanoid (elf),Medium,16,162,,neutral evil,,Mordenkainen's Tome of Foes,14.0,19.0,15.0,12.0,14.0,13.0
drow-inquisitor,https://www.aidedd.org/dnd/monstres.php?vo=drow-inquisitor,14,humanoid (elf),Medium,16,143,,neutral evil,,Mordenkainen's Tome of Foes,11.0,15.0,14.0,16.0,21.0,20.0
drow-mage,https://www.aidedd.org/dnd/monstres.php?vo=drow-mage,7,humanoid (elf),Medium,12,45,,neutral evil,,Monster Manual (BR),9.0,14.0,10.0,17.0,13.0,12.0
drow-matron-mother,,20,humanoid (elf),Medium,17,262,,neutral evil,,Mordenkainen's Tome of Foes,,,,,,
drow-priestress-of-lolth,,8,humanoid (elf),Medium,16,71,,neutral evil,,Monster Manual,,,,,,
drow-shadowblade,,11,humanoid (elf),Medium,17,150,,neutral evil,,Mordenkainen's Tome of Foes,,,,,,
druid,https://www.aidedd.org/dnd/monstres.php?vo=druid,2,humanoid (any race),Medium,11,27,,any alignment,,Monster Manual (SRD),10.0,12.0,13.0,12.0,15.0,11.0
dryad,https://www.aidedd.org/dnd/monstres.php?vo=dryad,1,fey,Medium,11,22,,neutral,,Monster Manual (SRD),10.0,12.0,11.0,14.0,15.0,18.0
duergar,https://www.aidedd.org/dnd/monstres.php?vo=duergar,1,humanoid (dwarf),Medium,16,26,,lawful evil,,Monster Manual (SRD),14.0,11.0,14.0,11.0,10.0,9.0
duergar-despot,,12,humanoid (dwarf),Medium,21,119,,lawful evil,,Mordenkainen's Tome of Foes,,,,,,
duergar-kavalrachni,,2,humanoid (dwarf),Medium,16,26,,lawful evil,,Mordenkainen's Tome of Foes,,,,,,
duergar-mind-master,,2,humanoid (dwarf),Medium,14,39,,lawful evil,,Mordenkainen's Tome of Foes,,,,,,
duergar-soulblade,,1,humanoid (dwarf),Medium,14,18,,lawful evil,,Mordenkainen's Tome of Foes,,,,,,
duergar-stone-guard,,2,humanoid (dwarf),Medium,18,39,,lawful evil,,Mordenkainen's Tome of Foes,,,,,,
duergar-warlord,,6,humanoid (dwarf),Medium,20,75,,lawful evil,,Mordenkainen's Tome of Foes,,,,,,
duergar-xarrorn,,2,humanoid (dwarf),Medium,18,26,,lawful evil,,Mordenkainen's Tome of Foes,,,,,,
duodrone,,1/4,construct,Medium,15,11,,lawful neutral,,Monster Manual,,,,,,
dust-mephit,https://www.aidedd.org/dnd/monstres.php?vo=dust-mephit,1/2,elemental,Small,12,17,fly,neutral evil,,Monster Manual (SRD),5.0,14.0,10.0,9.0,11.0,10.0
dybbuk,,4,fiend (demon),Medium,14,37,fly,chaotic evil,,Mordenkainen's Tome of Foes,,,,,,
eagle,https://www.aidedd.org/dnd/monstres.php?vo=eagle,0,beast,Small,12,3,fly,unaligned,,Monster Manual (SRD),6.0,15.0,10.0,2.0,14.0,7.0
earth-elemental,https://www.aidedd.org/dnd/monstres.php?vo=earth-elemental,5,elemental,Large,17,126,,neutral,,Monster Manual (SRD),20.0,8.0,20.0,5.0,10.0,5.0
earth-elemental-myrmidon,,7,elemental,Medium,18,127,,neutral,,Mordenkainen's Tome of Foes,,,,,,
eblis,,1,monstrosity,Large,13,26,fly,neutral evil,,Adventures (Tomb of Annihilation),,,,,,
efreeti,https://www.aidedd.org/dnd/monstres.php?vo=efreeti,11,elemental,Large,17,200,fly,lawful evil,,Monster Manual (SRD),22.0,12.0,24.0,16.0,15.0,16.0
eidolon,,12,undead,Medium,9,63,fly,any alignment,,Mordenkainen's Tome of Foes,,,,,,
elder-brain,,14,aberration,Large,10,210,swim,lawful evil,Legendary,Volo's Guide to Monsters,,,,,,
elder-oblex,,10,ooze,Huge,16,115,,lawful evil,,Mordenkainen's Tome of Foes,,,,,,
elder-tempest,,23,elemental,Gargantuan,19,264,fly,neutral,,Mordenkainen's Tome of Foes,,,,,,
elephant,https://www.aidedd.org/dnd/monstres.php?vo=elephant,4,beast,Huge,12,76,,unaligned,,Monster Manual (SRD),22.0,9.0,17.0,3.0,11.0,6.0
elk,https://www.aidedd.org/dnd/monstres.php?vo=elk,1/4,beast,Large,10,13,,unaligned,,Monster Manual (SRD),16.0,10.0,12.0,2.0,10.0,6.0
empyrean,,23,celestial (titan),Huge,22,313,"fly, swim",chaotic good ,Legendary,Monster Manual,,,,,,
enchanter,,5,humanoid (any race),Medium,12,40,,any alignment,,Volo's Guide to Monsters,,,,,,
erinyes,https://www.aidedd.org/dnd/monstres.php?vo=erinyes,12,fiend (devil),Medium,18,153,fly,lawful evil,,Monster Manual (SRD),18.0,16.0,18.0,14.0,14.0,18.0
ettercap,https://www.aidedd.org/dnd/monstres.php?vo=ettercap,2,monstrosity,Medium,13,44,,neutral evil,,Monster Manual (SRD),14.0,15.0,13.0,7.0,12.0,8.0
ettin,https://www.aidedd.org/dnd/monstres.php?vo=ettin,4,giant,Large,12,85,,chaotic evil,,Monster Manual (SRD),21.0,8.0,17.0,6.0,10.0,8.0
evoker,,9,humanoid (any race),Medium,12,66,,any alignment,,Volo's Guide to Monsters,,,,,,
expert-lvl-1,,0,humanoid (any race),Medium,14,11,,any alignment,,Essentials Kit,,,,,,
expert-lvl-2,,0,humanoid (any race),Medium,14,16,,any alignment,,Essentials Kit,,,,,,
expert-lvl-3,,0,humanoid (any race),Medium,14,22,,any alignment,,Essentials Kit,,,,,,
expert-lvl-4,,0,humanoid (any race),Medium,14,27,,any alignment,,Essentials Kit,,,,,,
expert-lvl-5,,0,humanoid (any race),Medium,14,33,,any alignment,,Essentials Kit,,,,,,
expert-lvl-6,,0,humanoid (any race),Medium,14,38,,any alignment,,Essentials Kit,,,,,,
faerie-dragon,,1,dragon,Tiny,15,14,fly,chaotic good,,Monster Manual,,,,,,
female-steeder,,1,monstrosity,Large,14,30,,unaligned,,Mordenkainen's Tome of Foes,,,,,,
fire-elemental,https://www.aidedd.org/dnd/monstres.php?vo=fire-elemental,5,elemental,Large,13,102,,neutral,,Monster Manual (SRD),10.0,17.0,16.0,6.0,10.0,7.0
fire-elemental-myrmidon,,7,elemental,Medium,18,123,,neutral,,Mordenkainen's Tome of Foes,,,,,,
fire-giant,https://www.aidedd.org/dnd/monstres.php?vo=fire-giant,9,giant,Huge,18,162,,lawful evil,,Monster Manual (SRD),25.0,9.0,23.0,10.0,14.0,13.0
fire-giant-dreadnought,,14,giant (fire giant),Huge,21,187,,lawful evil,,Volo's Guide to Monsters,,,,,,
fire-snake,https://www.aidedd.org/dnd/monstres.php?vo=fire-snake,1,elemental,Medium,14,22,,neutral evil,,Monster Manual (BR),12.0,14.0,11.0,7.0,10.0,8.0
firenewt-warlock-of-imix,,1,humanoid (firenewt),Medium,10,33,,neutral evil,,Volo's Guide to Monsters,,,,,,
firenewt-warrior,,1/2,humanoid (firenewt),Medium,16,22,,neutral evil,,Volo's Guide to Monsters,,,,,,
fist-of-bane,,1/2,humanoid (human),Medium,18,22,,lawful evil,,Adventures (Descent into Avernus),,,,,,
flail-snail,,3,elemental,Large,16,52,,unaligned,,Volo's Guide to Monsters,,,,,,
flameskull,https://www.aidedd.org/dnd/monstres.php?vo=flameskull,4,undead,Tiny,13,40,fly,neutral evil,,Monster Manual (SRD),1.0,17.0,14.0,16.0,10.0,11.0
flesh-golem,https://www.aidedd.org/dnd/monstres.php?vo=flesh-golem,5,construct,Medium,9,93,,neutral,,Monster Manual (SRD),19.0,9.0,18.0,6.0,10.0,5.0
flind,https://www.aidedd.org/dnd/monstres.php?vo=flind,9,humanoid (gnoll),Medium,16,127,,chaotic evil,,Volo's Guide to Monsters,20.0,10.0,19.0,11.0,13.0,12.0
flumph,,1/8,aberration,Small,12,7,fly,lawful good,,Monster Manual,,,,,,
flying-snake,https://www.aidedd.org/dnd/monstres.php?vo=flying-snake,1/8,beast,Tiny,14,5,"fly, swim",unaligned,,Monster Manual (SRD),4.0,18.0,11.0,2.0,12.0,5.0
flying-sword,https://www.aidedd.org/dnd/monstres.php?vo=flying-sword,1/4,construct,Small,17,17,fly,unaligned,,Monster Manual (SRD),12.0,15.0,11.0,1.0,5.0,1.0
fomorian,,8,giant,Huge,14,149,,chaotic evil,,Monster Manual,,,,,,
fraz-urb-luu,,23,fiend (demon),Large,18,337,fly,chaotic evil,,Mordenkainen's Tome of Foes,,,,,,
frog,https://www.aidedd.org/dnd/monstres.php?vo=frog,0,beast,Tiny,11,1,swim,unaligned,,Monster Manual (SRD),1.0,13.0,8.0,1.0,8.0,3.0
froghemoth,https://www.aidedd.org/dnd/monstres.php?vo=froghemoth,10,monstrosity,Huge,14,184,swim,unaligned,,Volo's Guide to Monsters,23.0,13.0,20.0,2.0,12.0,5.0
frost-giant,https://www.aidedd.org/dnd/monstres.php?vo=frost-giant,8,giant,Huge,15,138,,neutral evil,,Monster Manual (SRD),23.0,9.0,21.0,9.0,10.0,12.0
frost-giant-everlasting-one,,12,giant (frost giant),Huge,15,189,,chaotic evil,,Volo's Guide to Monsters,,,,,,
frost-salamander,,9,elemental,Huge,17,168,,unaligned,,Mordenkainen's Tome of Foes,,,,,,
galeb-duhr,https://www.aidedd.org/dnd/monstres.php?vo=galeb-duhr,6,elemental,Medium,16,85,,neutral,,Monster Manual (BR),20.0,14.0,20.0,11.0,12.0,11.0
gargoyle,https://www.aidedd.org/dnd/monstres.php?vo=gargoyle,2,elemental,Medium,15,52,fly,chaotic evil,,Monster Manual (SRD),15.0,11.0,16.0,6.0,11.0,7.0
gas-spore,,1/2,plant,Large,5,1,fly,unaligned,,Monster Manual,,,,,,
gauth,https://www.aidedd.org/dnd/monstres.php?vo=gauth,6,aberration,Medium,15,67,fly,lawful evil,,Volo's Guide to Monsters,10.0,14.0,16.0,15.0,15.0,13.0
gazer,,1/2,aberration,Tiny,13,13,fly,neutral evil,,Volo's Guide to Monsters,,,,,,
gelatinous-cube,https://www.aidedd.org/dnd/monstres.php?vo=gelatinous-cube,2,ooze,Large,6,84,,unaligned,,Monster Manual (SRD),14.0,3.0,20.0,1.0,6.0,1.0
geryon,,22,fiend (devil),Huge,19,300,fly,lawful evil,,Mordenkainen's Tome of Foes,,,,,,
ghast,https://www.aidedd.org/dnd/monstres.php?vo=ghast,2,undead,Medium,13,36,,chaotic evil,,Monster Manual (SRD),16.0,17.0,10.0,11.0,10.0,8.0
ghost,https://www.aidedd.org/dnd/monstres.php?vo=ghost,4,undead,Medium,11,45,fly,any alignment,,Monster Manual (SRD),7.0,13.0,10.0,10.0,12.0,17.0
ghoul,https://www.aidedd.org/dnd/monstres.php?vo=ghoul,1,undead,Medium,12,22,,chaotic evil,,Monster Manual (SRD),13.0,15.0,10.0,7.0,10.0,6.0
giant-ape,https://www.aidedd.org/dnd/monstres.php?vo=giant-ape,7,beast,Huge,12,157,,unaligned,,Monster Manual (SRD),23.0,14.0,18.0,7.0,12.0,7.0
giant-badger,https://www.aidedd.org/dnd/monstres.php?vo=giant-badger,1/4,beast,Medium,10,13,,unaligned,,Monster Manual (SRD),13.0,10.0,15.0,2.0,12.0,5.0
giant-bat,https://www.aidedd.org/dnd/monstres.php?vo=giant-bat,1/4,beast,Large,13,22,fly,unaligned,,Monster Manual (SRD),15.0,16.0,11.0,2.0,12.0,6.0
giant-boar,https://www.aidedd.org/dnd/monstres.php?vo=giant-boar,2,beast,Large,12,42,,unaligned,,Monster Manual (SRD),17.0,10.0,16.0,2.0,7.0,5.0
giant-centipede,https://www.aidedd.org/dnd/monstres.php?vo=giant-centipede,1/4,beast,Small,13,4,,unaligned,,Monster Manual (SRD),5.0,14.0,12.0,1.0,7.0,3.0
giant-constrictor-snake,https://www.aidedd.org/dnd/monstres.php?vo=giant-constrictor-snake,2,beast,Huge,12,60,swim,unaligned,,Monster Manual (SRD),19.0,14.0,12.0,1.0,10.0,3.0
giant-crab,https://www.aidedd.org/dnd/monstres.php?vo=giant-crab,1/8,beast,Medium,15,13,swim,unaligned,,Monster Manual (SRD),13.0,15.0,11.0,1.0,9.0,3.0
giant-crocodile,https://www.aidedd.org/dnd/monstres.php?vo=giant-crocodile,5,beast,Huge,14,85,swim,unaligned,,Monster Manual (SRD),21.0,9.0,17.0,2.0,10.0,7.0
giant-eagle,https://www.aidedd.org/dnd/monstres.php?vo=giant-eagle,1,beast,Large,13,26,fly,neutral good,,Monster Manual (SRD),16.0,17.0,13.0,8.0,14.0,10.0
giant-elk,https://www.aidedd.org/dnd/monstres.php?vo=giant-elk,2,beast,Huge,14,42,,unaligned,,Monster Manual (SRD),19.0,16.0,14.0,7.0,14.0,10.0
giant-fire-beetle,https://www.aidedd.org/dnd/monstres.php?vo=giant-fire-beetle,0,beast,Small,13,4,,unaligned,,Monster Manual (SRD),8.0,10.0,12.0,1.0,7.0,3.0
giant-four-armed-gargoyle,,10,elemental,Large,17,147,fly,chaotic evil,,Adventures (Tomb of Annihilation),,,,,,
giant-frog,https://www.aidedd.org/dnd/monstres.php?vo=giant-frog,1/4,beast,Medium,11,18,swim,unaligned,,Monster Manual (SRD),12.0,13.0,11.0,2.0,10.0,3.0
giant-goat,https://www.aidedd.org/dnd/monstres.php?vo=giant-goat,1/2,beast,Large,11,19,,unaligned,,Monster Manual (SRD),17.0,11.0,12.0,3.0,12.0,6.0
giant-hyena,https://www.aidedd.org/dnd/monstres.php?vo=giant-hyena,1,beast,Large,12,45,,unaligned,,Monster Manual (SRD),16.0,14.0,14.0,2.0,12.0,7.0
giant-lizard,https://www.aidedd.org/dnd/monstres.php?vo=giant-lizard,1/4,beast,Large,12,19,,unaligned,,Monster Manual (SRD),15.0,12.0,13.0,2.0,10.0,5.0
giant-octopus,https://www.aidedd.org/dnd/monstres.php?vo=giant-octopus,1,beast,Large,11,52,swim,unaligned,,Monster Manual (SRD),17.0,13.0,13.0,4.0,10.0,4.0
giant-owl,https://www.aidedd.org/dnd/monstres.php?vo=giant-owl,1/4,beast,Large,12,19,fly,neutral,,Monster Manual (SRD),13.0,15.0,12.0,8.0,13.0,10.0
giant-poisonous-snake,https://www.aidedd.org/dnd/monstres.php?vo=giant-poisonous-snake,1/4,beast,Medium,14,11,swim,unaligned,,Monster Manual (SRD),10.0,18.0,13.0,2.0,10.0,3.0
giant-rat,https://www.aidedd.org/dnd/monstres.php?vo=giant-rat,1/8,beast,Small,12,7,,unaligned,,Monster Manual (SRD),7.0,15.0,11.0,2.0,10.0,4.0
giant-scorpion,https://www.aidedd.org/dnd/monstres.php?vo=giant-scorpion,3,beast,Large,15,52,,unaligned,,Monster Manual (SRD),15.0,13.0,15.0,1.0,9.0,3.0
giant-sea-horse,https://www.aidedd.org/dnd/monstres.php?vo=giant-sea-horse,1/2,beast,Large,13,16,swim,unaligned,,Monster Manual (SRD),12.0,15.0,11.0,2.0,12.0,5.0
giant-shark,https://www.aidedd.org/dnd/monstres.php?vo=giant-shark,5,beast,Huge,13,126,swim,unaligned,,Monster Manual (SRD),23.0,11.0,21.0,1.0,10.0,5.0
giant-spider,https://www.aidedd.org/dnd/monstres.php?vo=giant-spider,1,beast,Large,14,26,,unaligned,,Monster Manual (SRD),14.0,16.0,12.0,2.0,11.0,4.0
giant-strider,,1,monstrosity,Large,14,22,,neutral evil,,Volo's Guide to Monsters,,,,,,
giant-toad,https://www.aidedd.org/dnd/monstres.php?vo=giant-toad,1,beast,Large,11,39,swim,unaligned,,Monster Manual (SRD),15.0,13.0,13.0,2.0,10.0,3.0
giant-two-headed-goat,https://www.aidedd.org/dnd/monstres.php?vo=giant-two-headed-goat,1/2,beast,Large,11,19,,unaligned,,Extra (Adventurers League),17.0,11.0,12.0,3.0,12.0,6.0
giant-vulture,https://www.aidedd.org/dnd/monstres.php?vo=giant-vulture,1,beast,Large,10,22,fly,neutral evil,,Monster Manual (SRD),15.0,10.0,15.0,6.0,12.0,7.0
giant-wasp,https://www.aidedd.org/dnd/monstres.php?vo=giant-wasp,1/2,beast,Medium,12,13,fly,unaligned,,Monster Manual (SRD),10.0,14.0,10.0,1.0,10.0,3.0
giant-weasel,https://www.aidedd.org/dnd/monstres.php?vo=giant-weasel,1/8,beast,Medium,13,9,,unaligned,,Monster Manual (SRD),11.0,16.0,10.0,4.0,12.0,5.0
giant-wolf-spider,https://www.aidedd.org/dnd/monstres.php?vo=giant-wolf-spider,1/4,beast,Medium,13,11,,unaligned,,Monster Manual (SRD),12.0,16.0,13.0,3.0,12.0,4.0
gibbering-mouther,https://www.aidedd.org/dnd/monstres.php?vo=gibbering-mouther,2,aberration,Medium,9,67,swim,neutral,,Monster Manual (SRD),10.0,8.0,16.0,3.0,10.0,6.0
giff,,3,humanoid,Medium,16,60,,lawful neutral,,Mordenkainen's Tome of Foes,,,,,,
girallon,,4,monstrosity,Large,13,59,,unaligned,,Volo's Guide to Monsters,,,,,,
githyanki-gish,,10,humanoid (gith),Medium,17,123,,lawful evil,,Mordenkainen's Tome of Foes,,,,,,
githyanki-kith--rak,,12,humanoid (gith),Medium,18,180,,lawful evil,,Mordenkainen's Tome of Foes,,,,,,
githyanki-knight,,8,humanoid (gith),Medium,18,91,,lawful evil,,Monster Manual,,,,,,
githyanki-supreme-commander,,14,humanoid (gith),Medium,18,187,,lawful evil,,Mordenkainen's Tome of Foes,,,,,,
githyanki-warrior,,3,humanoid (gith),Medium,17,49,,lawful evil,,Monster Manual,,,,,,
githzerai-anarch,,16,humanoid (gith),Medium,20,144,fly,lawful neutral,,Mordenkainen's Tome of Foes,,,,,,
githzerai-enlightned,,10,humanoid (gith),Medium,18,112,,lawful neutral,,Mordenkainen's Tome of Foes,,,,,,
githzerai-monk,,2,humanoid (gith),Medium,14,38,,lawful neutral,,Monster Manual,,,,,,
githzerai-zerth,,6,humanoid (gith),Medium,17,84,,lawful neutral,,Monster Manual,,,,,,
glabrezu,https://www.aidedd.org/dnd/monstres.php?vo=glabrezu,9,fiend (demon),Large,17,157,,chaotic evil,,Monster Manual (SRD),20.0,15.0,21.0,19.0,17.0,16.0
gladiator,https://www.aidedd.org/dnd/monstres.php?vo=gladiator,5,humanoid (any race),Medium,16,112,,any alignment,,Monster Manual (SRD),18.0,15.0,16.0,10.0,12.0,15.0
gloom-weaver,,9,humanoid (elf),Medium,14,104,,neutral,,Mordenkainen's Tome of Foes,,,,,,
gnoll,https://www.aidedd.org/dnd/monstres.php?vo=gnoll,1/2,humanoid (gnoll),Medium,15,22,,chaotic evil,,Monster Manual (SRD),14.0,12.0,11.0,6.0,10.0,7.0
gnoll-fang-of-yeenoghu,,4,fiend (gnoll),Medium,14,65,,chaotic evil,,Monster Manual,,,,,,
gnoll-flesh-gnawer,,1,humanoid (gnoll),Medium,14,22,,chaotic evil,,Volo's Guide to Monsters,,,,,,
gnoll-hunter,,1/2,humanoid (gnoll),Medium,13,22,,chaotic evil,,Volo's Guide to Monsters,,,,,,
gnoll-pack-lord,https://www.aidedd.org/dnd/monstres.php?vo=gnoll-pack-lord,2,humanoid (gnoll),Medium,15,49,,chaotic evil,,Monster Manual (BR),16.0,14.0,13.0,8.0,11.0,9.0
gnoll-witherling,,1/4,undead,Medium,12,11,,chaotic evil,,Volo's Guide to Monsters,,,,,,
goat,https://www.aidedd.org/dnd/monstres.php?vo=goat,0,beast,Medium,10,4,,unaligned,,Monster Manual (SRD),12.0,10.0,11.0,2.0,10.0,5.0
goblin,https://www.aidedd.org/dnd/monstres.php?vo=goblin,1/4,humanoid (goblinoid),Small,15,7,,neutral evil,,Monster Manual (SRD),8.0,14.0,10.0,10.0,8.0,8.0
goblin-boss,,1,humanoid (goblinoid),Small,17,21,,neutral evil,,Monster Manual,,,,,,
gold-dragon-wyrmling,https://www.aidedd.org/dnd/monstres.php?vo=gold-dragon-wyrmling,3,dragon,Medium,17,60,"fly, swim",lawful good,,Monster Manual (SRD),19.0,14.0,17.0,14.0,11.0,16.0
gorgon,https://www.aidedd.org/dnd/monstres.php?vo=gorgon,5,monstrosity,Large,19,114,,unaligned,,Monster Manual (SRD),20.0,11.0,18.0,2.0,12.0,7.0
goristro,,17,fiend (demon),Huge,19,310,,chaotic evil,,Monster Manual,,,,,,
gray-ooze,https://www.aidedd.org/dnd/monstres.php?vo=gray-ooze,1/2,ooze,Medium,8,22,,unaligned,,Monster Manual (SRD),12.0,6.0,16.0,1.0,6.0,2.0
gray-render,,12,monstrosity,Large,19,189,,chaotic neutral,,Mordenkainen's Tome of Foes,,,,,,
gray-slaad,,9,aberration (shapechanger),Medium,18,127,,chaotic neutral,,Monster Manual,,,,,,
graz-zt,,24,"fiend (demon, shapechanger)",Large,20,346,,chaotic evil,,Mordenkainen's Tome of Foes,,,,,,
green-abishai,,15,fiend (devil),Medium,18,187,fly,lawful evil,,Mordenkainen's Tome of Foes,,,,,,
green-dragon-wyrmling,https://www.aidedd.org/dnd/monstres.php?vo=green-dragon-wyrmling,2,dragon,Medium,17,38,"fly, swim",lawful evil,,Monster Manual (SRD),15.0,12.0,13.0,14.0,11.0,13.0
green-hag,https://www.aidedd.org/dnd/monstres.php?vo=green-hag,3,fey,Medium,17,82,,neutral evil,,Monster Manual (SRD),18.0,12.0,16.0,13.0,14.0,14.0
green-slaad,,8,aberration (shapechanger),Large,16,127,,chaotic neutral,,Monster Manual,,,,,,
grell,https://www.aidedd.org/dnd/monstres.php?vo=grell,3,aberration,Medium,12,55,fly,neutral evil,,Monster Manual (BR),15.0,14.0,13.0,12.0,11.0,9.0
grick,https://www.aidedd.org/dnd/monstres.php?vo=grick,2,monstrosity,Medium,14,27,,neutral,,Monster Manual (SRD),14.0,14.0,11.0,3.0,14.0,5.0
grick-alpha,,7,monstrosity,Large,18,75,,neutral,,Monster Manual,,,,,,
griffon,https://www.aidedd.org/dnd/monstres.php?vo=griffon,2,monstrosity,Large,12,59,fly,unaligned,,Monster Manual (SRD),18.0,15.0,16.0,2.0,13.0,8.0
grimlock,https://www.aidedd.org/dnd/monstres.php?vo=grimlock,1/4,humanoid (grimlock),Medium,11,11,,neutral evil,,Monster Manual (SRD),16.0,12.0,12.0,9.0,8.0,6.0
grung,,1/4,humanoid (grung),Small,12,11,,lawful evil,,Volo's Guide to Monsters,,,,,,
grung-elite-warrior,,2,humanoid (grung),Small,13,49,,lawful evil,,Volo's Guide to Monsters,,,,,,
grung-wildling,,1,humanoid (grung),Small,13,27,,lawful evil,,Volo's Guide to Monsters,,,,,,
guard,https://www.aidedd.org/dnd/monstres.php?vo=guard,1/8,humanoid (any race),Medium,16,11,,any alignment,,Monster Manual (SRD),13.0,12.0,12.0,10.0,11.0,10.0
guard-drake,,2,dragon,Medium,14,52,,unaligned,,Volo's Guide to Monsters,,,,,,
guardian-naga,https://www.aidedd.org/dnd/monstres.php?vo=guardian-naga,10,monstrosity,Large,18,127,,lawful good,,Monster Manual (SRD),19.0,18.0,16.0,16.0,19.0,18.0
gynosphinx,https://www.aidedd.org/dnd/monstres.php?vo=gynosphinx,11,monstrosity,Large,17,136,fly,lawful neutral,Legendary,Monster Manual (SRD),18.0,15.0,16.0,18.0,18.0,18.0
halaster-blackcloak,,23,humanoid (human),Medium,14,246,,chaotic evil,,Adventures (Dungeon of the Mad Mage),,,,,,
half-ogre,https://www.aidedd.org/dnd/monstres.php?vo=half-ogre,1,giant,Large,12,30,,any chaotic alignment,,Monster Manual (BR),17.0,10.0,14.0,7.0,9.0,10.0
half-red-dragon-veteran,https://www.aidedd.org/dnd/monstres.php?vo=half-red-dragon-veteran,5,humanoid (human),Medium,18,65,,any alignment,,Monster Manual (BR),16.0,13.0,14.0,10.0,11.0,10.0
harpy,https://www.aidedd.org/dnd/monstres.php?vo=harpy,1,monstrosity,Medium,11,38,fly,chaotic evil,,Monster Manual (SRD),12.0,13.0,12.0,7.0,10.0,13.0
hawk,https://www.aidedd.org/dnd/monstres.php?vo=hawk,0,beast,Tiny,13,1,fly,unaligned,,Monster Manual (SRD),5.0,16.0,8.0,2.0,14.0,6.0
hell-hound,https://www.aidedd.org/dnd/monstres.php?vo=hell-hound,3,fiend,Medium,15,45,,lawful evil,,Monster Manual (SRD),17.0,12.0,14.0,6.0,13.0,6.0
hellfire-engine,,16,construct,Huge,18,216,,lawful evil,,Mordenkainen's Tome of Foes,,,,,,
hellwasp,,5,fiend,Large,19,52,fly,lawful evil,,Adventures (Descent into Avernus),,,,,,
helmed-horror,https://www.aidedd.org/dnd/monstres.php?vo=helmed-horror,4,construct,Medium,20,60,fly,neutral,,Monster Manual (BR),18.0,13.0,16.0,10.0,10.0,10.0
hezrou,https://www.aidedd.org/dnd/monstres.php?vo=hezrou,8,fiend (demon),Large,16,136,,chaotic evil,,Monster Manual (SRD),19.0,17.0,20.0,5.0,12.0,13.0
hill-giant,https://www.aidedd.org/dnd/monstres.php?vo=hill-giant,5,giant,Huge,13,105,,chaotic evil,,Monster Manual (SRD),21.0,8.0,19.0,5.0,9.0,6.0
hippogriff,https://www.aidedd.org/dnd/monstres.php?vo=hippogriff,1,monstrosity,Large,11,19,fly,unaligned,,Monster Manual (SRD),17.0,13.0,13.0,2.0,12.0,8.0
hobgoblin,https://www.aidedd.org/dnd/monstres.php?vo=hobgoblin,1/2,humanoid (goblinoid),Medium,18,11,,lawful evil,,Monster Manual (SRD),13.0,12.0,12.0,10.0,10.0,9.0
hobgoblin-captain,https://www.aidedd.org/dnd/monstres.php?vo=hobgoblin-captain,3,humanoid (goblinoid),Medium,17,39,,lawful evil,,Monster Manual (BR),15.0,14.0,14.0,12.0,10.0,13.0
hobgoblin-devastator,,4,humanoid (goblinoid),Medium,13,45,,lawful evil,,Volo's Guide to Monsters,,,,,,
hobgoblin-iron-shadow,https://www.aidedd.org/dnd/monstres.php?vo=hobgoblin-iron-shadow,2,humanoid (goblinoid),Medium,15,32,,lawful evil,,Volo's Guide to Monsters,14.0,16.0,15.0,14.0,15.0,11.0
hobgoblin-warlord,,6,humanoid (goblinoid),Medium,20,97,,lawful evil,,Monster Manual,,,,,,
