README: This is The Witcher 3 Gwent game data sourced from https://witcher.fandom.com/wiki/Gwent. Viewer discretion advised due to profanity.,,,,,,
,,,,,,
Card Pack,Card Name,Type,Row,Strength,Ability,Retrieval Source
Skellige,King Bran,Leader,N/A,,Units only lose half their Strength in bad weather conditions.,"Completing Gwent: To Everything - Turn, Turn, Tournament!"
Skellige,Light Longship,Unit,Ranged Combat,4,Muster: Find any cards with the same name in your deck and play them instantly.,2 are part of the base deck
Skellige,Light Longship,Unit,Ranged Combat,4,Muster: Find any cards with the same name in your deck and play them instantly.,1 won from the Perfumery's merchant
Skellige,Madman Lugos,Unit,Close Combat,6,,Part of the base deck
Skellige,Mardroeme,Special,N/A,,Triggers transformation of all Berserker cards on the same row.,1 is part of the base deck
Skellige,Mardroeme,Special,N/A,,Triggers transformation of all Berserker cards on the same row.,1 won from The Belles of Beauclair's madame
Skellige,Mardroeme,Special,N/A,,Triggers transformation of all Berserker cards on the same row.,1 won from the Herb Store's herbalist
Skellige,Olaf,Unit,Close or Ranged Combat,12,Agile: Can be placed in either the Close Combat or the Ranged Combat row. Cannot be moved once placed.,Won from The Adder and Jewels Winery's sommelier
Skellige,Olaf,Unit,Close or Ranged Combat,12,Morale boost: Adds +1 to all units in the row (excluding itself).,
Skellige,Skellige Storm,Weather,N/A,,Reduces the Strength of all Range and Siege Units to 1.,1 is won from the Tourney Grounds' armorer
Skellige,Skellige Storm,Weather,N/A,,Reduces the Strength of all Range and Siege Units to 1.,1 is won from the Tourney Grounds' barber
Skellige,Skellige Storm,Weather,N/A,,Reduces the Strength of all Range and Siege Units to 1.,1 is won from Beauclair Port's butcher
Skellige,Svanrige,Unit,Close Combat,4,,Part of the base deck
Skellige,Transformed Vildkaarl,Unit,Close Combat,14,Morale boost: Adds +1 strength to all units in the row (excluding itself).,Transformed version of Berserker
Skellige,Transformed Young Vildkaarl,Unit,Ranged Combat,8,Tight Bond: Place next to a card with the same name to double the strength of both cards.,Transformed version of Young Berserker
Skellige,Udalryk,Unit,Close Combat,4,,Part of the base deck
Skellige,War Longship,Unit,Siege,6,Tight Bond: Place next to a card with the same name to double the strength of both cards.,2 are part of the base deck
Skellige,War Longship,Unit,Siege,6,Tight Bond: Place next to a card with the same name to double the strength of both cards.,1 won from the Tourney Grounds' innkeep
Skellige,Young Berserker,Unit,Ranged Combat,2,Transforms into a bear when a Mardroeme card is on its row.,1 is part of the base deck
Skellige,Young Berserker,Unit,Ranged Combat,2,Transforms into a bear when a Mardroeme card is on its row.,1 won from the Tourney Grounds' blacksmith
Skellige,Young Berserker,Unit,Ranged Combat,2,Transforms into a bear when a Mardroeme card is on its row.,1 won from Pierre at Tailor's Workshop
Neutral Cards,Biting Frost,Weather,N/A,,Sets the strength of all Close Combat cards to 1 for both players.,2 are part of the base deck
Neutral Cards,Biting Frost,Weather,N/A,,,1 is a random reward from gwent players
Neutral Cards,Bovine Defense Force,Unit,Close Combat,8,,Summoned by the removal of the Cow card during play
Neutral Cards,Cirilla Fiona Elen Riannon,Hero,Close Combat,15,Hero: Not affected by any Special Cards or abilities.,Won from the Scoia'tael merchant during Gwent: Big City Players
Neutral Cards,Clear Weather,Weather,N/A,,"Removes all Weather Card (Biting Frost, Impenetrable Fog and Torrential Rain) effects.",2 are part of the base deck
Neutral Cards,Clear Weather,Weather,N/A,,"Removes all Weather Card (Biting Frost, Impenetrable Fog and Torrential Rain) effects.",1 is a random reward from gwent players
Neutral Cards,Commander's Horn,Special,N/A,,Doubles the strength of all unit cards in that row. Limited to 1 per row.,1 purchased from the Inn at the Crossroads's Innkeep
Neutral Cards,Commander's Horn,Special,N/A,,Doubles the strength of all unit cards in that row. Limited to 1 per row.,1 purchased from Lindenvale's innkeep
Neutral Cards,Commander's Horn,Special,N/A,,Doubles the strength of all unit cards in that row. Limited to 1 per row.,1 purchased from Marquise Serenity at the Passiflora
Neutral Cards,Commander's Horn,Special,N/A,,Doubles the strength of all unit cards in that row. Limited to 1 per row.,1 purchased from Stjepan at The Alchemy
Neutral Cards,Commander's Horn,Special,N/A,,Doubles the strength of all unit cards in that row. Limited to 1 per row.,Hearts of Stone expansion: 1 can be purchased from the merchant at the circus camp near Carsten
Neutral Cards,Cow,Unit,Ranged Combat,0,"When this card is removed from the battlefield, it summons a powerful new Unit Card to take its place.",Found inside a barn in Brunwich
Neutral Cards,Dandelion,Unit,Close Combat,2,Commander's Horn: Doubles the strength of all unit cards in that row. Limited to 1 per row.,Won during A Matter of Life and Death
Neutral Cards,Decoy,Special,N/A,,Swap with a card on the battlefield to return it to your hand.,1 purchased from Elsa or Bram in White Orchard
Neutral Cards,Decoy,Special,N/A,,Swap with a card on the battlefield to return it to your hand.,1 purchased from Crow's Perch's Quartermaster
Neutral Cards,Decoy,Special,N/A,,Swap with a card on the battlefield to return it to your hand.,1 purchased from the Seven Cats Inn's Innkeep
Neutral Cards,Emiel Regis Rohellec Terzieff,Unit,Close Combat,5,,Random reward from gwent players
Neutral Cards,Gaunter O'Dimm,Unit,Siege,2,Muster: Find any cards with the same name in your deck and play them instantly.,Won from Robert Hilbert during Open Sesame!
Neutral Cards,Gaunter O'Dimm: Darkness,Unit,Ranged Combat,4,Muster: Find any cards with the same name in your deck and play them instantly.,1 purchased from Dulla kh'Amanni at Upper Mill
Neutral Cards,Gaunter O'Dimm: Darkness,Unit,Ranged Combat,4,Muster: Find any cards with the same name in your deck and play them instantly.,2 purchased from the merchant at the circus camp near Carsten
Neutral Cards,Geralt of Rivia,Hero,Close Combat,15,Hero: Not affected by any Special Cards or abilities.,Won from Thaler during Gwent: Playing Thaler
Neutral Cards,Impenetrable Fog,Weather,N/A,,Sets the strength of all Ranged Combat cards to 1 for both players.,2 are part of the base deck
Neutral Cards,Impenetrable Fog,Weather,N/A,,Sets the strength of all Ranged Combat cards to 1 for both players.,1 is a random reward from gwent players
Neutral Cards,Mysterious Elf,Hero,Close Combat,0,Spy: Place on your opponent's battlefield (counts towards opponent's total) and draw 2 cards from your deck.,Won from Gremist during Gwent: Skellige Style
Neutral Cards,Mysterious Elf,Hero,Close Combat,0,Hero: Not affected by any Special Cards or abilities.,
Neutral Cards,Olgierd von Everec,Unit,Close or Ranged Combat,6,Morale boost: Adds +1 to all units in the row (excluding itself).,Won from Shani
Neutral Cards,Olgierd von Everec,Unit,Close or Ranged Combat,6,Agile: Can be placed in either the Close Combat or the Ranged Combat row. Cannot be moved once placed.,
Neutral Cards,Scorch,Special,N/A,,Scorch: Discards after playing. Kills the strongest card(s) on the battlefield.,1 purchased from the Cunny of the Goose's Innkeep
Neutral Cards,Scorch,Special,N/A,,Scorch: Discards after playing. Kills the strongest card(s) on the battlefield.,1 purchased from Jonas at the New Port Inn
Neutral Cards,Scorch,Special,N/A,,Scorch: Discards after playing. Kills the strongest card(s) on the battlefield.,1 purchased from Urialla Harbor's Innkeep
Neutral Cards,Skellige Storm,Weather,N/A,,Reduces the Strength of all Range and Siege Units to 1.,1 is won from the Tourney Grounds' armorer
Neutral Cards,Skellige Storm,Weather,N/A,,Reduces the Strength of all Range and Siege Units to 1.,1 is won from the Tourney Grounds' barber
Neutral Cards,Skellige Storm,Weather,N/A,,Reduces the Strength of all Range and Siege Units to 1.,1 is won from Beauclair Port's butcher
Neutral Cards,Torrential Rain,Weather,N/A,,Sets the strength of all Siege Combat cards to 1 for both players.,2 are part of the base deck
Neutral Cards,Torrential Rain,Weather,N/A,,Sets the strength of all Siege Combat cards to 1 for both players.,1 is random rewards from gwent players
Neutral Cards,Triss Merigold,Hero,Close Combat,7,Hero: Not affected by any Special Cards or abilities.,Won from Lambert during Gwent: Old Pals
Neutral Cards,Vesemir,Unit,Close Combat,6,,Won from Vimme Vivaldi during Gwent: Big City Players
Neutral Cards,Villentretenmerth,Unit,Close Combat,7,Scorch - Close Combat: Destroy your enemy's strongest Close Combat unit(s) if the combined strength of all his or her Close Combat units is 10 or more.,Random reward from gwent players
Neutral Cards,Yennefer of Vengerberg,Hero,Ranged Combat,7,Medic: Choose one card from your discard pile and play it instantly (no Heroes or Special Cards).,Won from Stjepan during Gwent: Playing Innkeeps
Neutral Cards,Yennefer of Vengerberg,Hero,Ranged Combat,7,Hero: Not affected by any Special Cards or abilities.,
Neutral Cards,Zoltan Chivay,Unit,Close Combat,5,,Won from Aldert Geert in White Orchard or found under the Hanged Man's Tree
