id,name,thumbnail,Vehicle Class,Manufacturer,Available from,Storage Location,Modifications,Title Update,Sell,Release Date,Based on (Real Life Vehicle),In-Game Model Name,Seats / Capacity,Weight (KG),Drivetrain,Gears,Request Delivery,Game Edition/Mode,Top Speed - Real (Broughy),GTA Online Price,Sell Price - Resale,Speed (Stat),Acceleration,Braking,Handling (Traction / Agility),Overall Rating,Vehicle Feature 1,Vehicle Feature 2,Source,Last Updated
1128,Swinger,https://www.gtabase.com/images/gta-5/vehicles/sports-classic/main/resized/swinger_320x180.jpg,Sports Classics,Ocelot,Legendary Motorsport,Garage (Personal Vehicle),Los Santos Customs,1.44 After Hours,Can be sold only if purchased (High-End),2018-07-24,"Jaguar XJ13, Lucra LC470",swinger,2,900,Rear-Wheel Drive,5,Mechanic,GTA Online,118.25,909000,545400,83.165451,97.5,31.666666,72.727272,71.264847,,,https://www.gtabase.com/grand-theft-auto-v/vehicles,2022-03-05
999,Clown Van,https://www.gtabase.com/images/gta-5/vehicles/vans/main/resized/clown-van_320x180.jpg,Vans,Vapid,Bonus Reward,Pegasus Vehicle,Cannot be modified,1.01 Game Launch,Cannot be sold,2013-09-17,2003-present Chevrolet Express van,speedo2,4,2500,Rear-Wheel Drive,5,Pegasus Concierge,GTA V Story Mode,94.75,,,69.751678,45,20,54.545456,47.3242835,,,https://www.gtabase.com/grand-theft-auto-v/vehicles,2022-03-05
998,Mixer II,https://www.gtabase.com/images/gta-5/vehicles/industrial/main/resized/mixer-2_320x180.jpg,Industrial,HVY,Bonus Reward,Pegasus Vehicle,Cannot be modified,1.01 Game Launch,Cannot be sold,2013-09-17,Chevy Kodiak/GMC TopKick,mixer,2,6000,Rear-Wheel Drive,4,Pegasus Concierge,GTA Online,84.5,,,59.020649,27.5,10,48.484848,36.25137425,,,https://www.gtabase.com/grand-theft-auto-v/vehicles,2022-03-05
997,Tipper II,https://www.gtabase.com/images/gta-5/vehicles/industrial/main/resized/tipper-2_320x180.jpg,Industrial,Brute,Cannot be acquired,Cannot be stored,Cannot be modified,1.01 Game Launch,Cannot be sold,2013-09-17,Chevy Kodiak/GMC TopKick,tiptruck,2,5500,Rear-Wheel Drive,4,Cannot be requested,GTA V Story Mode,73,,,53.655136,27.5,8.333334,48.484848,34.4933295,,,https://www.gtabase.com/grand-theft-auto-v/vehicles,2022-03-05
996,Cargobob Jetsam,https://www.gtabase.com/images/gta-5/vehicles/helicopters/main/resized/cargobob-jetsam_320x180.jpg,Helicopters,Western Company,Warstock Cache & Carry,Pegasus Vehicle,Paint Job Only,1.01 Game Launch,Cannot be sold,2013-09-17,Boeing CH-46 Sea Knight,cargobob2,10,15000,,,Pegasus Concierge,GTA Online,99.5,1995000,,76.751122,91.071426,,74.03846,80.620336,Armored Vehicle,Float on Water,https://www.gtabase.com/grand-theft-auto-v/vehicles,2022-03-05
995,Dilettante (Patrol),https://www.gtabase.com/images/gta-5/vehicles/compacts/main/resized/dilettante-patrol_320x180.jpg,Compacts,Karin,Cannot be acquired,Cannot be stored,Cannot be modified,1.01 Game Launch,Cannot be sold,2013-09-17,Toyota Prius,dilettante2,4,1400,Front-Wheel Drive,1,Cannot be requested,GTA V Story Mode,88.5,,,69.751678,25,20,53.333336,42.0212535,Electric Vehicle,,https://www.gtabase.com/grand-theft-auto-v/vehicles,2022-03-05
994,Seashark Lifeguard,https://www.gtabase.com/images/gta-5/vehicles/boats/resized/seashark-lifeguard_320x180.jpg,Emergency,Speedophile,Cannot be acquired,Cannot be stored,Cannot be modified,1.01 Game Launch,Cannot be sold,2013-09-17,Sea Doo RXT,seashark2,2,400,,,Cannot be requested,GTA V Story Mode,67,,,80.246918,73.529411,,4,52.59210967,,,https://www.gtabase.com/grand-theft-auto-v/vehicles,2022-03-05
982,Jester Classic,https://www.gtabase.com/images/gta-5/vehicles/sports-classic/main/resized/jester-classic_320x180.jpg,Sports,Dinka,Legendary Motorsport,Garage (Personal Vehicle),Los Santos Customs,1.44 After Hours,Can be sold only if purchased (High-End),2018-07-24,Toyota Supra JZA80 (Mk IV),jester3,2,1600,Rear-Wheel Drive,5,Mechanic,GTA Online,119.75,790000,474000,83.702011,79.999992,31.666666,78.030304,68.349743,,,https://www.gtabase.com/grand-theft-auto-v/vehicles,2022-03-05
981,Michelli GT,https://www.gtabase.com/images/gta-5/vehicles/sports-classic/main/resized/michelli-gt_320x180.jpg,Sports Classics,Lampadati,Southern S.A. Super Autos,Garage (Personal Vehicle),Los Santos Customs,1.43 Southern SA Super Sport Series,Can be sold only if purchased (High-End),2018-06-05,"Alfa Romeo Giulia Sprint GTV, Lancia Fulvia Coupé",michelli,2,840,Rear-Wheel Drive,5,Mechanic,GTA Online,106.5,1225000,735000,75.11718,70.625,25,69.696968,60.109787,,,https://www.gtabase.com/grand-theft-auto-v/vehicles,2022-03-05
980,Cheburek,https://www.gtabase.com/images/gta-5/vehicles/sports-classic/main/resized/cheburek_320x180.jpg,Sports Classics,RUNE,Southern S.A. Super Autos,Garage (Personal Vehicle),Los Santos Customs,1.43 Southern SA Super Sport Series,Can be sold only if purchased (High-End),2018-06-05,"VAZ-2101, VAZ-2106, VAZ-2107",cheburek,4,1100,Rear-Wheel Drive,5,Mechanic,GTA Online,108.75,145000,87000,75.11718,66.25,26.666668,68.181816,59.053916,,,https://www.gtabase.com/grand-theft-auto-v/vehicles,2022-03-05
979,Tyrant,https://www.gtabase.com/images/gta-5/vehicles/super/main/resized/tyrant_320x180.jpg,Super,Overflod,Legendary Motorsport,Garage (Personal Vehicle),Los Santos Customs,1.43 Southern SA Super Sport Series,Can be sold only if purchased (High-End),2018-05-08,"Apollo Arrow, Apollo Intensa Emozione, 2017 Ford GT",tyrant,2,1175,Rear-Wheel Drive,6,Mechanic,GTA Online,127,2515000,1509000,88.530968,85,33.333336,100,76.716076,,,https://www.gtabase.com/grand-theft-auto-v/vehicles,2022-03-05
978,Dominator GTX,https://www.gtabase.com/images/gta-5/vehicles/muscle/main/resized/dominator-gtx_320x180.jpg,Muscle,Vapid,Southern S.A. Super Autos,Garage (Personal Vehicle),Los Santos Customs,1.43 Southern SA Super Sport Series,Can be sold only if purchased (High-End),2018-05-08,"2015-present Ford Mustang, seventh generation Dodge Charger, 2016-present Chevrolet Camaro ZL1, Ford Mustang GTT",dominator3,2,1670,Rear-Wheel Drive,5,Mechanic,GTA Online,108.5,725000,435000,78.068222,83.75,16.666668,77.878784,64.090919,,,https://www.gtabase.com/grand-theft-auto-v/vehicles,2022-03-05
965,Caddy (Utility),https://www.gtabase.com/igallery/1501-1600/resized/GTAOnline_Bunker_Transportation_1_CaddyUtility-1501-512_320x180.jpg,Utility,Nagasaki,Warstock Cache & Carry,Bunker,Cannot be modified,1.01 Game Launch,Cannot be sold,2013-09-17,,caddy2,2,600,Rear-Wheel Drive,1,Cannot be requested,GTA V Story Mode,67,85000,,34.875839,75,6.666667,43.939396,40.1204755,Electric Vehicle,,https://www.gtabase.com/grand-theft-auto-v/vehicles,2022-03-05
930,Sea Sparrow,https://www.gtabase.com/images/gta-5/vehicles/helicopters/main/resized/sea-sparrow_320x180.jpg,Helicopters,,Elitás Travel,Hangar (Personal Aircraft),Hangar Aircraft Workshop,1.43 Southern SA Super Sport Series,Can be sold only if purchased (High-End),2018-04-17,"Sikorsky S-300 (formerly Hughes 300 and Schweizer 300), Aérospatiale Alouette II",seasparrow,2,3500,,,Interaction Menu - Aircraft,GTA Online,153.75,1815000,1089000,76.751122,94.642853,,94.181976,88.525317,Float on Water,Armed Vehicle,https://www.gtabase.com/grand-theft-auto-v/vehicles,2022-03-05
929,Issi Classic,https://www.gtabase.com/images/gta-5/vehicles/compacts/main/resized/issi-classic_320x180.jpg,Compacts,Weeny,Southern S.A. Super Autos,Garage (Personal Vehicle),Los Santos Customs,1.43 Southern SA Super Sport Series,Can be sold only if purchased (High-End),2018-04-17,"1967-1970 Mini MK II, Trabant",issi3,2,650,Front-Wheel Drive,4,Mechanic,GTA Online,95.25,360000,216000,67.068924,65,10,60.606064,50.668747,,,https://www.gtabase.com/grand-theft-auto-v/vehicles,2022-03-05
928,Flash GT,https://www.gtabase.com/images/gta-5/vehicles/sports/main/resized/flash-gt_320x180.jpg,Sports,Vapid,Legendary Motorsport,Garage (Personal Vehicle),Los Santos Customs,1.43 Southern SA Super Sport Series,Can be sold only if purchased (High-End),2018-04-17,Ford Fiesta RS WRC,flashgt,2,1200,All-Wheel Drive,6,Mechanic,GTA Online,116.25,1675000,1005000,81.555809,79.999992,33.333336,100,73.722284,,,https://www.gtabase.com/grand-theft-auto-v/vehicles,2022-03-05
927,Caracara,https://www.gtabase.com/images/gta-5/vehicles/off-road/main/resized/caracara_320x180.jpg,Off-Road,Vapid,Warstock Cache & Carry,Garage (Personal Vehicle),MOC / Avenger,1.43 Southern SA Super Sport Series,Can be sold only if purchased (High-End),2018-04-03,"Ford F-150, Hennessey VelociRaptor 6X6, 2016–present Nissan Titan, Ram Pickup",caracara,5,3500,All-Wheel Drive,5,Mechanic,GTA Online,100.75,1775000,1065000,72.434425,75,9,68.181816,56.15406,Weaponized Vehicle,Armed Vehicle,https://www.gtabase.com/grand-theft-auto-v/vehicles,2022-03-05
926,Tezeract,https://www.gtabase.com/images/gta-5/vehicles/super/main/resized/tezeract_320x180.jpg,Super,Pegassi,Legendary Motorsport,Garage (Personal Vehicle),Los Santos Customs,1.43 Southern SA Super Sport Series,Can be sold only if purchased (High-End),2018-03-27,"Lamborghini Terzo Millennio,SRT Tomahawk",tezeract,2,1800,All-Wheel Drive,1,Mechanic,GTA Online,125.5,2825000,1695000,90.68,91.5,40,100,80.545,Electric Vehicle,,https://www.gtabase.com/grand-theft-auto-v/vehicles,2022-03-05
925,Ellie,https://www.gtabase.com/images/gta-5/vehicles/muscle/main/resized/ellie_320x180.jpg,Muscle,Vapid,Southern S.A. Super Autos,Garage (Personal Vehicle),Los Santos Customs,1.43 Southern SA Super Sport Series,Can be sold only if purchased (High-End),2018-03-27,"1967 Ford Mustang/Shelby GT500, Eleanor",ellie,2,1370,Rear-Wheel Drive,5,Mechanic,GTA Online,106.5,565000,339000,75.38546,81.249992,16.666668,77.272728,62.643712,,,https://www.gtabase.com/grand-theft-auto-v/vehicles,2022-03-05
924,GB200,https://www.gtabase.com/images/gta-5/vehicles/sports/main/resized/gb200_320x180.jpg,Sports,Vapid,Legendary Motorsport,Garage (Personal Vehicle),Los Santos Customs,1.43 Southern SA Super Sport Series,Can be sold only if purchased (High-End),2018-03-20,"Ford RS200, pre-facelift second generation Subaru Impreza,",gb200,2,1180,All-Wheel Drive,6,Mechanic,GTA Online,114.25,940000,564000,81.555809,78.75,33.333336,100,73.409786,,,https://www.gtabase.com/grand-theft-auto-v/vehicles,2022-03-05
923,Taipan,https://www.gtabase.com/images/gta-5/vehicles/super/main/resized/taipan_320x180.jpg,Super,Cheval,Legendary Motorsport,Garage (Personal Vehicle),Los Santos Customs,1.43 Southern SA Super Sport Series,Can be sold only if purchased (High-End),2018-03-20,"Hennessey Venom F5, second generation Ford GT, Trion Nemesis, McLaren P1",taipan,2,1400,Rear-Wheel Drive,6,Mechanic,GTA Online,126.25,1980000,1188000,91.34787,89.25,33.333336,100,78.482802,,,https://www.gtabase.com/grand-theft-auto-v/vehicles,2022-03-05
922,Entity XXR,https://www.gtabase.com/images/gta-5/vehicles/super/main/resized/entity-xxr_320x180.jpg,Super,Overflod,Legendary Motorsport,Garage (Personal Vehicle),Los Santos Customs,1.43 Southern SA Super Sport Series,Can be sold only if purchased (High-End),2018-03-20,"Koenigsegg One:1, Koenigsegg Agera R",entity2,2,1400,Rear-Wheel Drive,6,Mechanic,GTA Online,128,2305000,1383000,91.21373,88.75,33.333336,100,78.324267,,,https://www.gtabase.com/grand-theft-auto-v/vehicles,2022-03-05
921,Fagaloa,https://www.gtabase.com/images/gta-5/vehicles/sports-classic/main/resized/fagaloa_320x180.jpg,Sports Classics,Vulcar,Southern S.A. Super Autos,Garage (Personal Vehicle),Los Santos Customs,1.43 Southern SA Super Sport Series,Can be sold only if purchased (High-End),2018-03-20,"Volvo Amazon Wagon,Chevrolet Nomad , 1957 Pontiac Safari Wagon, Volkswagen 1600 Squareback",fagaloa,4,1100,Rear-Wheel Drive,3,Mechanic,GTA Online,87.5,335000,201000,64.386162,52.499996,25.833332,71.969696,53.672297,,,https://www.gtabase.com/grand-theft-auto-v/vehicles,2022-03-05
920,Hotring Sabre,https://www.gtabase.com/images/gta-5/vehicles/sports/main/resized/hotring-sabre_320x180.jpg,Sports,Declasse,Southern S.A. Super Autos,Garage (Personal Vehicle),Los Santos Customs,1.43 Southern SA Super Sport Series,Can be sold only if purchased (High-End),2018-03-20,"Chevrolet Lumina, Oldsmobile Cutlass Supreme",hotring,2,1508,Rear-Wheel Drive,4,Mechanic,GTA Online,121.75,830000,498000,85.311661,83.75,23.333334,77.272728,67.416931,,,https://www.gtabase.com/grand-theft-auto-v/vehicles,2022-03-05
919,Comet SR,https://www.gtabase.com/images/gta-5/vehicles/sports/main/resized/comet-sr_320x180.jpg,Sports,Pfister,Legendary Motorsport,Garage (Personal Vehicle),Los Santos Customs,1.42 The Doomsday Heist,Can be sold only if purchased (High-End),2018-02-27,Porsche 997 GT2 RS,comet5,2,1550,Rear-Wheel Drive,6,Mechanic,GTA Online,122,1145000,687000,86.116493,90,40,100,79.029123,,,https://www.gtabase.com/grand-theft-auto-v/vehicles,2022-03-05
918,190z,https://www.gtabase.com/images/gta-5/vehicles/sports-classic/main/resized/190z_320x180.jpg,Sports Classics,Karin,Legendary Motorsport,Garage (Personal Vehicle),Los Santos Customs,1.42 The Doomsday Heist,Can be sold only if purchased (High-End),2018-02-20,"Datsun 240Z/Nissan Fairlady Z/Nissan S30, Toyota 2000GT",z190,2,1100,Rear-Wheel Drive,5,Mechanic,GTA Online,109.75,900000,540000,75.11718,67.5,31.666666,69.696968,60.995204,,,https://www.gtabase.com/grand-theft-auto-v/vehicles,2022-03-05
917,Hustler,https://www.gtabase.com/images/gta-5/vehicles/muscle/main/resized/hustler_320x180.jpg,Muscle,Vapid,Legendary Motorsport,Garage (Personal Vehicle),Los Santos Customs,1.42 The Doomsday Heist,Can be sold only if purchased (High-End),2018-02-13,1932 Ford Coupe,hustler,2,1000,Rear-Wheel Drive,5,Mechanic,GTA Online,121.25,625000,375000,75.11718,75,14.333333,59.09091,55.885356,,,https://www.gtabase.com/grand-theft-auto-v/vehicles,2022-03-05
916,Kamacho,https://www.gtabase.com/images/gta-5/vehicles/off-road/main/resized/kamacho_320x180.jpg,Off-Road,Canis,Southern S.A. Super Autos,Garage (Personal Vehicle),Los Santos Customs,1.42 The Doomsday Heist,Can be sold only if purchased (High-End),2018-02-06,Jeep Crew Chief 715 concept,kamacho,4,2350,All-Wheel Drive,5,Mechanic,GTA Online,116.75,345000,207000,71.897881,63.75,10,60.606064,51.563486,,,https://www.gtabase.com/grand-theft-auto-v/vehicles,2022-03-05
915,Neon,https://www.gtabase.com/images/gta-5/vehicles/sports/main/resized/neon_320x180.jpg,Sports,Pfister,Legendary Motorsport,Garage (Personal Vehicle),Los Santos Customs,1.42 The Doomsday Heist,Can be sold only if purchased (High-End),2018-01-30,"Porsche Taycan, Porsche 918 Spyder, second generation Porsche Panamera and the 991.2 Porsche 911",neon,4,2000,All-Wheel Drive,1,Mechanic,GTA Online,114,1500000,900000,83.970284,62.624996,43.333332,68.9394,64.717003,Electric Vehicle,,https://www.gtabase.com/grand-theft-auto-v/vehicles,2022-03-05
914,Revolter,https://www.gtabase.com/images/gta-5/vehicles/sports/main/resized/revolter_320x180.jpg,Sports,Übermacht,Legendary Motorsport,Garage (Personal Vehicle),MOC / Avenger,1.42 The Doomsday Heist,Can be sold only if purchased (High-End),2018-01-23,"Cadillac Escala Concept, Audi TT Mk3",revolter,4,2600,All-Wheel Drive,6,Mechanic,GTA Online,115.5,1610000,966000,75.11718,87.5,26.666668,68.181816,64.366416,Weaponized Vehicle,Armed Vehicle,https://www.gtabase.com/grand-theft-auto-v/vehicles,2022-03-05
913,GT500,https://www.gtabase.com/images/gta-5/vehicles/sports-classic/main/resized/gt500_320x180.jpg,Sports Classics,Grotti,Legendary Motorsport,Garage (Personal Vehicle),Los Santos Customs,1.42 The Doomsday Heist,Can be sold only if purchased (High-End),2018-01-16,"Ferrari 250 GT SWB, BMW 507",gt500,2,800,Rear-Wheel Drive,5,Mechanic,GTA Online,110.75,785000,471000,75.224503,72.5,25.666666,66.666672,60.01446,,,https://www.gtabase.com/grand-theft-auto-v/vehicles,2022-03-05
742,Viseris,https://www.gtabase.com/images/gta-5/vehicles/sports-classic/main/resized/viseris_320x180.jpg,Sports Classics,Lampadati,Legendary Motorsport,Garage (Personal Vehicle),MOC / Avenger,1.42 The Doomsday Heist,Can be sold only if purchased (High-End),2018-01-09,"De Tomaso Pantera GT5, Maserati Merak, BMW M1",viseris,2,1400,Rear-Wheel Drive,5,Mechanic,GTA Online,124.25,875000,525000,83.433739,75,26.666668,69.696968,63.699344,Weaponized Vehicle,Armed Vehicle,https://www.gtabase.com/grand-theft-auto-v/vehicles,2022-03-05
741,Savestra,https://www.gtabase.com/images/gta-5/vehicles/sports-classic/main/resized/savestra_320x180.jpg,Sports Classics,Annis,Legendary Motorsport,Garage (Personal Vehicle),MOC / Avenger,1.42 The Doomsday Heist,Can be sold only if purchased (High-End),2018-01-02,"Series II-III Mazda Savanna/RX3 Nissan Skyline C110, 1972-1974 Mitsubishi Galant GTO 1970-1974 Toyota Corolla",savestra,2,880,Rear-Wheel Drive,4,Mechanic,GTA Online,117,990000,594000,75.11718,59.375,23.333334,62.121212,54.986682,Weaponized Vehicle,Armed Vehicle,https://www.gtabase.com/grand-theft-auto-v/vehicles,2022-03-05
740,Autarch,https://www.gtabase.com/images/gta-5/vehicles/super/main/resized/autarch_320x180.jpg,Super,Overflod,Legendary Motorsport,Garage (Personal Vehicle),Los Santos Customs,1.42 The Doomsday Heist,Can be sold only if purchased (High-End),2017-12-26,"Scuderia Cameron Glickenhaus SCG 003, McLaren Senna, KTM X-Bow GT4, Koenigsegg One:1",autarch,2,1300,Rear-Wheel Drive,6,Mechanic,GTA Online,125.5,1955000,1173000,86.384766,94.25,40,100,80.158692,,,https://www.gtabase.com/grand-theft-auto-v/vehicles,2022-03-05
739,Hermes,https://www.gtabase.com/images/gta-5/vehicles/muscle/main/resized/hermes_320x180.jpg,Muscle,Albany,Southern S.A. Super Autos,Garage (Personal Vehicle),Los Santos Customs,1.42 The Doomsday Heist,Can be sold only if purchased (High-End),2017-12-25,Buick Super,hermes,2,1300,Rear-Wheel Drive,4,Mechanic,GTA Online,117.75,535000,321000,73.507538,71.25,25.833332,71.969696,60.640142,,,https://www.gtabase.com/grand-theft-auto-v/vehicles,2022-03-05
738,Streiter,https://www.gtabase.com/images/gta-5/vehicles/sports/main/resized/streiter_320x180.jpg,Sports,Benefactor,Southern S.A. Super Autos,Garage (Personal Vehicle),Los Santos Customs,1.42 The Doomsday Heist,Can be sold only if purchased (High-End),2017-12-22,"Mercedes-Benz E-Class All Terrain 4x4², Mercedes-Benz CL-Class C216",streiter,4,2010,All-Wheel Drive,6,Mechanic,GTA Online,111.25,500000,300000,75.11718,53.125,26.666668,63.030304,54.484788,,,https://www.gtabase.com/grand-theft-auto-v/vehicles,2022-03-05
737,Sentinel Classic,https://www.gtabase.com/images/gta-5/vehicles/sports/main/resized/sentinel-classic_320x180.jpg,Sports,Übermacht,Southern S.A. Super Autos,Garage (Personal Vehicle),Los Santos Customs,1.42 The Doomsday Heist,Can be sold only if purchased (High-End),2017-12-19,BMW E30 M3,sentinel3,2,1100,Rear-Wheel Drive,5,Mechanic,GTA Online,117.25,650000,390000,75.11718,66.25,26.666668,68.181816,59.053916,,,https://www.gtabase.com/grand-theft-auto-v/vehicles,2022-03-05
544,Avenger,https://www.gtabase.com/images/gta-5/vehicles/planes/main/resized/avenger_320x180.jpg,Planes,Mammoth,Warstock Cache & Carry,Facility Property,Facility Vehicle Workshop,1.42 The Doomsday Heist,Cannot be sold,2017-12-12,V-22 Osprey,avenger2,5,18000,,,Interaction Menu - Services,GTA Online,178.5,3450000,,76.07,47.315037,45,1.645429,42.507617,Armed Vehicle,Armored Vehicle,https://www.gtabase.com/grand-theft-auto-v/vehicles,2022-03-05
543,Thruster Jetpack,https://www.gtabase.com/images/gta-5/vehicles/military/main/resized/thruster-jetpack_320x180.jpg,Military,Mammoth,Warstock Cache & Carry,Facility Property,Facility Vehicle Workshop,1.42 The Doomsday Heist,Cannot be sold,2017-12-12,Martin Jetpack P12,thruster,1,301,,,Mechanic,GTA Online,126,3657500,,99.365639,100,,100,99.788546,Weaponized Vehicle,Special Vehicle,https://www.gtabase.com/grand-theft-auto-v/vehicles,2022-03-05
542,Deluxo,https://www.gtabase.com/images/gta-5/vehicles/sports-classic/resized/deluxo_320x180.jpg,Sports Classics,Imponte,Warstock Cache & Carry,Garage (Personal Vehicle),Los Santos Customs,1.42 The Doomsday Heist,Can be sold only if purchased (High-End),2017-12-12,"DeLorean DMC-12 from the Back To The Future movie, with the ability to fly and gull-wing doors",deluxo,2,1600,Rear-Wheel Drive,4,Mechanic,GTA Online,127.25,4721500,2832900,75.11718,56.875004,23.333334,62.121212,54.361683,Flying Ability,Armed Vehicle,https://www.gtabase.com/grand-theft-auto-v/vehicles,2022-03-05
541,Stromberg,https://www.gtabase.com/images/gta-5/vehicles/sports-classic/main/resized/stromberg_320x180.jpg,Sports Classics,Ocelot,Warstock Cache & Carry,Garage (Personal Vehicle),Los Santos Customs,1.42 The Doomsday Heist,Can be sold only if purchased (High-End),2017-12-12,Maserati Bora,stromberg,2,1300,Rear-Wheel Drive,6,Mechanic,GTA Online,112.75,3185350,1911810,80.482697,72.5,33.333336,75.757576,65.518402,Armed Vehicle,Armored Vehicle,https://www.gtabase.com/grand-theft-auto-v/vehicles,2022-03-05
540,TM-02 Khanjali Tank,https://www.gtabase.com/images/gta-5/vehicles/military/main/resized/tm-02-khanjali_320x180.jpg,Military,,Warstock Cache & Carry,Facility Property,Facility Vehicle Workshop,1.42 The Doomsday Heist,Cannot be sold,2017-12-12,PL-01 Tank,khanjali,4,30000,All-Wheel Drive,1,Mechanic,GTA Online,42,3850350,,30.583426,25,6.666667,77.272728,34.880705,Weaponized Vehicle,Armed Vehicle,https://www.gtabase.com/grand-theft-auto-v/vehicles,2022-03-05
539,RCV,https://www.gtabase.com/images/gta-5/vehicles/emergency/main/resized/rcv_320x180.jpg,Emergency,,Warstock Cache & Carry,Facility Property,Facility Vehicle Workshop,1.42 The Doomsday Heist,Cannot be sold,2017-12-12,INKAS Armored Riot Control Vehicle,riot2,6,12500,Rear-Wheel Drive,5,Mechanic,GTA Online,96.75,3125500,,67.068924,39.999996,10,53.030308,42.524807,Weaponized Vehicle,Armed Vehicle,https://www.gtabase.com/grand-theft-auto-v/vehicles,2022-03-05
538,Chernobog,https://www.gtabase.com/images/gta-5/vehicles/military/main/resized/chernobog_320x180.jpg,Military,HVY,Warstock Cache & Carry,Facility Property,Facility Vehicle Workshop,1.42 The Doomsday Heist,Cannot be sold,2017-12-12,"MAZ-543M, BM-30 Smerch",chernobog,2,40000,All-Wheel Drive,5,Mechanic,GTA Online,70.25,3311700,,50.972378,29.999998,3.333333,60.606064,36.227943,Armed Vehicle,Weaponized Vehicle,https://www.gtabase.com/grand-theft-auto-v/vehicles,2022-03-05
537,Barrage,https://www.gtabase.com/images/gta-5/vehicles/military/main/resized/barrage_320x180.jpg,Military,HVY,Warstock Cache & Carry,Garage (Personal Vehicle),MOC / Avenger,1.42 The Doomsday Heist,Can be sold only if purchased (High-End),2017-12-12,"HDT Storm SRTV (Search & Rescue Tactical Vehicle), HDT Sword ITV (Internally Transportable Vehicle), V-22 Osprey",barrage,4,2500,All-Wheel Drive,5,Mechanic,GTA Online,108.75,2121350,1272810,72.434425,55.624996,28.333334,53.030308,52.355766,Armed Vehicle,Armored Vehicle,https://www.gtabase.com/grand-theft-auto-v/vehicles,2022-03-05
536,Volatol,https://www.gtabase.com/images/gta-5/vehicles/planes/main/resized/volatol_320x180.jpg,Planes,,Warstock Cache & Carry,Hangar (Personal Aircraft),Hangar Aircraft Workshop,1.42 The Doomsday Heist,Can be sold only if purchased (High-End),2017-12-12,"Avro Vulcan, Myasishchev M-4, de Haviland Comet",volatol,4,40000,,,Interaction Menu - Aircraft,GTA Online,165.5,3724000,2234400,76.07,28.580999,32.5,1.009225,34.540056,Armed Vehicle,,https://www.gtabase.com/grand-theft-auto-v/vehicles,2022-03-05
535,Akula,https://www.gtabase.com/images/gta-5/vehicles/helicopters/main/resized/akula_320x180.jpg,Helicopters,,Warstock Cache & Carry,Hangar (Personal Aircraft),Hangar Aircraft Workshop,1.42 The Doomsday Heist,Can be sold only if purchased (High-End),2017-12-12,"Boeing–Sikorsky RAH-66 Comanch, Kamov Ka-50 ""Black Shark""",akula,4,8000,,,Interaction Menu - Aircraft,GTA Online,157.25,3704050,2222430,76.751122,100,,100,92.250374,Armed Vehicle,Stealth Mode,https://www.gtabase.com/grand-theft-auto-v/vehicles,2022-03-05
534,SC1,https://www.gtabase.com/images/gta-5/vehicles/super/main/resized/sc1_320x180.jpg,Super,Übermacht,Legendary Motorsport,Garage (Personal Vehicle),Los Santos Customs,1.42 The Doomsday Heist,Can be sold only if purchased (High-End),2017-12-12,BMW M1 Homage Concept,sc1,2,1400,Rear-Wheel Drive,6,Mechanic,GTA Online,120.75,1603000,961800,85.311661,77.5,37.333332,80.30304,70.112008,,,https://www.gtabase.com/grand-theft-auto-v/vehicles,2022-03-05
533,Raiden,https://www.gtabase.com/images/gta-5/vehicles/sports/main/resized/raiden_320x180.jpg,Sports,Coil,Legendary Motorsport,Garage (Personal Vehicle),Los Santos Customs,1.42 The Doomsday Heist,Can be sold only if purchased (High-End),2017-12-12,Tesla Model S,raiden,4,2100,All-Wheel Drive,1,Mechanic,GTA Online,113.25,1375000,825000,83.836143,61.25,43.333332,65.15152,63.392749,Electric Vehicle,,https://www.gtabase.com/grand-theft-auto-v/vehicles,2022-03-05
532,Pariah,https://www.gtabase.com/images/gta-5/vehicles/sports/main/resized/pariah_320x180.jpg,Sports,Ocelot,Legendary Motorsport,Garage (Personal Vehicle),Los Santos Customs,1.42 The Doomsday Heist,Can be sold only if purchased (High-End),2017-12-12,Ferrari 812 Superfast/Aston Martin V12 Zagato,pariah,2,1500,Rear-Wheel Drive,6,Mechanic,GTA Online,136,1420000,852000,83.219116,80.25,33.333336,79.545456,69.086977,,,https://www.gtabase.com/grand-theft-auto-v/vehicles,2022-03-05
531,Comet Safari,https://www.gtabase.com/images/gta-5/vehicles/sports/main/resized/comet-safari_320x180.jpg,Sports,Pfister,Legendary Motorsport,Garage (Personal Vehicle),MOC / Avenger,1.42 The Doomsday Heist,Can be sold only if purchased (High-End),2017-12-12,Porsche 911 930 Group B,comet4,2,1150,All-Wheel Drive,5,Mechanic,GTA Online,120,710000,426000,81.555809,73.125,26.666668,63.636364,61.24596,Weaponized Vehicle,Armed Vehicle,https://www.gtabase.com/grand-theft-auto-v/vehicles,2022-03-05
529,Yosemite,https://www.gtabase.com/images/gta-5/vehicles/muscle/main/resized/yosemite_320x180.jpg,Muscle,Declasse,Southern S.A. Super Autos,Garage (Personal Vehicle),Los Santos Customs,1.42 The Doomsday Heist,Can be sold only if purchased (High-End),2017-12-12,Chevrolet C10,yosemite,2,1300,Rear-Wheel Drive,4,Mechanic,GTA Online,117,485000,291000,73.507538,71.25,25,71.969696,60.431809,,,https://www.gtabase.com/grand-theft-auto-v/vehicles,2022-03-05
